徵才名稱,徵才公司,徵才日期,其他條件,徵才網址
品牌經營和整合行銷、數位行銷規劃、數據分析,九八九薑母鴨,2021/08/24,"['Google Analytics', 'Premiere', 'Adobe Photoshop', 'Illustrator']",www.104.com.tw/job/7clhx?jobsource=jolist_c_relevance
商品銷售專員(設計師包/飾品配件/休閒鞋襪),博客來數位科技股份有限公司,2021/08/26,"['Excel', 'Outlook', 'PowerPoint', 'Word']",www.104.com.tw/job/77gfe?jobsource=hotjob_chr
"商業數據分析師 BA/Business Analyst -數據科技(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,2021/08/25,無,www.104.com.tw/job/6l49y?jobsource=jolist_c_relevance
在家工作電訪人員(約到拜訪獎金+高額業務成交獎金）,跨際數位行銷有限公司,2021/08/23,無,www.104.com.tw/job/6mpe5?jobsource=hotjob_chr
大數據分析實習生(長期),大數據股份有限公司,2021/08/26,"['Excel', 'PowerPoint', 'Word', 'SAS', 'SPSS']",www.104.com.tw/job/636rg?jobsource=jolist_c_relevance
客戶暨系統數據分析專員,豐卉有限公司,2021/08/24,無,www.104.com.tw/job/7d4ek?jobsource=jolist_c_relevance
我的美麗 瑪麗蓮 精品調整型內衣  數位行銷,瑪麗蓮國際實業有限公司,2021/08/19,"['Excel', 'PowerPoint', 'Word', 'Adobe Photoshop', 'Illustrator']",www.104.com.tw/job/775i6?jobsource=hotjob_chr
戰略數據分析師,新加坡商第一企劃行銷股份有限公司台灣分公司,2021/08/20,"['MS SQL', 'Excel', 'PowerPoint', 'Google Analytics', 'Power BI\u200b']",www.104.com.tw/job/7a2jf?jobsource=jolist_c_relevance
數位廣告優化師,蘿琳亞股份有限公司,2021/08/26,"['Excel', 'PowerPoint', 'Word', 'Google Analytics']",www.104.com.tw/job/78u1x?jobsource=hotjob_chr
數位行銷專員 / 廣告投放數據分析,膂盟資訊開發股份有限公司,2021/08/23,"['Excel', 'PowerPoint', 'Word', 'LibreOffice Writer', 'Calc', 'Impress', 'Math', 'Adobe Photoshop', 'Illustrator', 'ImageReady']",www.104.com.tw/job/7962t?jobsource=jolist_c_relevance
數位金融數據分析員,元富證券股份有限公司,2021/08/06,無,www.104.com.tw/job/7ciki?jobsource=jolist_c_relevance
數據分析人員(總公司),玉山綜合證券股份有限公司,2021/08/17,"['Excel', 'PowerPoint', 'Word', 'Tableau']",www.104.com.tw/job/70c5w?jobsource=jolist_d_relevance
數據分析實習生,潮網科技股份有限公司,2021/08/25,"['Python', 'R', 'MS SQL', 'SPSS']",www.104.com.tw/job/7d68g?jobsource=jolist_c_relevance
數據分析專員(數據運用課),全家便利商店股份有限公司,2021/08/18,"['Python', 'R', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'Tableau', 'SPSS']",www.104.com.tw/job/71gqf?jobsource=jolist_c_relevance
數據分析專員-營運分析部,OB嚴選_橘熊科技股份有限公司,2021/08/24,"['Tableau', 'Google Data Studio']",www.104.com.tw/job/7beve?jobsource=jolist_c_relevance
數據分析專員,土耳其商精崴有限公司台灣分公司,2021/08/24,['Excel'],www.104.com.tw/job/71rrj?jobsource=jolist_c_relevance
數據分析師,勤崴國際科技股份有限公司,2021/08/06,"['Python', 'Tableau']",www.104.com.tw/job/7bep4?jobsource=jolist_c_relevance
數據師、大數據分析師(臺北市信義區),鼎漢國際工程顧問股份有限公司,2021/08/11,無,www.104.com.tw/job/7cfoj?jobsource=jolist_c_relevance
新創電商/數據分析師,美賣科技股份有限公司,2021/08/20,"['Linux', 'Python', 'MySQL', 'Google Analytics', 'Google Trend']",www.104.com.tw/job/7azmv?jobsource=jolist_d_relevance
新型態產業數據分析專案PM_208TF,萬寶華企業管理顧問股份有限公司,2021/08/20,"['Python', 'R']",www.104.com.tw/job/6igez?jobsource=jolist_c_relevance
早班工讀,上吉燒肉Yakiniku_上吉餐飲有限公司,2021/08/22,無,www.104.com.tw/job/7d156?jobsource=hotjob_chr
